"Position","Candidate Name","Votes","Votes %","Party"
1,Gaddigoudar Parvatagouda Chandanagouda,413272,48.1%,Bharatiya Janta Party
2,J.T.Patil,377826,43.9%,Indian National Congress
3,Hiremath Renukaradhya Sharanayya,13415,1.6%,Independent
4,Sangmesh Gurupadappa Bhavikatti,11288,1.3%,Independent
5,Farooq Pakali,10978,1.3%,Bahujan Samaj Party
6,Gadadannavar Ramesh Bhimappa,6398,0.7%,Independent
7,Sannagoudar Gururaj Sattyappagouda,6073,0.7%,Independent
8,Shankar Bhimappa Teli,3182,0.4%,Independent
9,Bandiwaddar Chandrashekhar Hanamant,2996,0.3%,Independent
10,Manohar H.A.,2810,0.3%,Independent
11,Basavaraj Kalakappa Pujar,2109,0.2%,Nationalist Congress Party
12,Badashah Rajesab Mujawar,1872,0.2%,Independent
13,Babu Ramareddy Ramesh,1829,0.2%,Independent
14,Pandit Shivappa Bodali,1566,0.2%,Independent
15,Chincholi Santoshakumar Sahebagouda,1545,0.2%,Independent
16,Parashuram Jalagar,1397,0.2%,Pyramid Party Of India
17,Kadechur Kallappa Revanasiddappa,1372,0.2%,Independent
