"Position","Candidate Name","Votes","Votes %","Party"
1,P. C. Mohan,340162,40.2%,Bharatiya Janta Party
2,H.T.Sangliana,304944,36.0%,Indian National Congress
3,B.Z. Zameer Ahmed Khan,162552,19.2%,Janata Dal (Secular)
4,Vijay Raja Singh,6363,0.8%,Bahujan Samaj Party
5,K.S.S.Iyengar,3745,0.4%,Independent
6,Ifthaquar Ali Bhutto,2850,0.3%,Ambedkar National Congress
7,Umashankar,2537,0.3%,Independent
8,D.C. Prakash,1686,0.2%,Karnataka Thamizhar Munnetra Kazhagam
9,Shaffi Ahmed,1551,0.2%,Independent
10,Dr.D. R.Venkatesh Gowda,1518,0.2%,Independent
11,C.V.Giddappa,1493,0.2%,Independent
12,B.M.Krishnareddy,1398,0.2%,Independent
13,S M Krishna,1290,0.2%,Bharatiya Praja Paksha
14,E. Ramakrishnaiah,1173,0.1%,Independent
15,K Uma,1021,0.1%,Independent
16,K.H.Ramalingareddy,990,0.1%,Independent
17,K.Prabhakar Reddy,755,0.1%,Kannada Chalevali Vatal Paksha
18,B.Mohan Velu,718,0.1%,Independent
19,J.D.Elangovan,713,0.1%,Indian Justice Party
20,B Krishna Prasad,687,0.1%,Proutist Sarva Samaj Party
21,Shaik Bahadur,666,0.1%,Independent
22,A.Chandrashekar,661,0.1%,Independent
23,S.N. Sharma,644,0.1%,Independent
24,S.Kodandaram,614,0.1%,Independent
25,R. Raj,595,0.1%,Independent
26,M.A. Aswathanarayana Setty,579,0.1%,Independent
27,K.Shivaramanna,559,0.1%,Independent
28,Abhimani Narendra,531,0.1%,Independent
29,Vijaya Bhaskar N,523,0.1%,Independent
30,A.S. Paul,475,0.1%,Akhila India Jananayaka Makkal Katchi (Dr. Issac)
31,Meer Layaq Hussain,465,0.1%,Independent
32,Shashikumar A.R,465,0.1%,Independent
33,P.Parthiban,458,0.1%,Independent
34,K.Narasimha,433,0.1%,Independent
35,T.K.Premkumar,432,0.1%,Pyramid Party Of India
36,Jayarama,380,0.0%,Independent
37,B.K Narayana Swamy,356,0.0%,Independent
