"Position","Candidate Name","Votes","Votes %","Party"
1,D. B. Chandre Gowda,452920,45.2%,Bharatiya Janta Party
2,C. K. Jaffer Sharief,393255,39.3%,Indian National Congress
3,R. Surendra Babu,110983,11.1%,Janata Dal (Secular)
4,Padmaa K. Bhat,8731,0.9%,Bahujan Samaj Party
5,H. Pillaiah,5804,0.6%,Independent
6,V. Prasanna Kumar,4034,0.4%,Independent
7,T. B. Madwaraja,3529,0.4%,Independent
8,Zafer Mohiuddin,2196,0.2%,Independent
9,N. Harish Gowda,2016,0.2%,Independent
10,K. A. Mohan,1932,0.2%,Independent
11,Joseph Solomon,1650,0.2%,Independent
12,M. Tippuvardhan,1506,0.2%,Bharatiya Praja Paksha
13,Meer Layaq Hussain,1304,0.1%,Independent
14,L. Nagaraj,1198,0.1%,Independent
15,T. R. Chandrahasa,1017,0.1%,Independent
16,A. Jaleel,864,0.1%,Independent
17,Venkatesa Setty,840,0.1%,Independent
18,Kanya Kumar,828,0.1%,Independent
19,H. A. Shivakumar,821,0.1%,Independent
20,S. M. Raju,819,0.1%,Independent
21,Anchana Khanna,797,0.1%,Independent
22,Syed Akbar Basha,796,0.1%,Independent
23,K. Sathyanarayana,691,0.1%,Independent
24,G S Kumar,667,0.1%,Independent
25,Mu. Venkateshaiah,666,0.1%,Independent
26,B K Chandra,661,0.1%,Independent
27,C. Krishnamurthy,647,0.1%,Independent
28,Lakshmaiah,485,0.0%,Independent
