"Position","Candidate Name","Votes","Votes %","Party"
1,H D Kumaraswamy,493302,44.7%,Janata Dal (Secular)
2,C. P. Yogeeshwara,363027,32.9%,Bharatiya Janta Party
3,Tejasvini Gowda,192822,17.5%,Indian National Congress
4,Mohamed Hafeez Ullah,12909,1.2%,Bahujan Samaj Party
5,T.M.Manchegowda,10739,1.0%,Independent
6,D.Kumaraswamy,7427,0.7%,Independent
7,C.Thopaiah,5103,0.5%,Janata Dal (United)
8,K.Puttamadegowda,3817,0.3%,Independent
9,Dr. K Padmarajan,2495,0.2%,Independent
10,Y.Chinnappa,2067,0.2%,Independent
11,Kumaraswamy C,2054,0.2%,Independent
12,A Chowrappa,1997,0.2%,Independent
13,Agnishreenivas,1811,0.2%,Independent
14,I Venkateswara Reddy,1700,0.2%,Pyramid Party Of India
15,Krishnappa,1563,0.1%,Independent
