"Position","Candidate Name","Votes","Votes %","Party"
1,Ananth Kumar,437953,48.2%,Bharatiya Janta Party
2,Krishna Byre Gowda,400341,44.1%,Indian National Congress
3,Prof.Radhakrishna,30045,3.3%,Janata Dal (Secular)
4,Capt. G.R. Gopinath,16383,1.8%,Independent
5,Naheeda Salma S,4621,0.5%,Bahujan Samaj Party
6,Muralidhara.D.J.,3480,0.4%,Independent
7,Ravi Kumara.T.,3424,0.4%,Independent
8,Madesh.C,2939,0.3%,Independent
9,Vatal Nagaraj,1514,0.2%,Kannada Chalevali Vatal Paksha
10,Santosh Min.B,1178,0.1%,Independent
11,K.M.Narayana,1100,0.1%,Independent
12,B.M.Govindraj Naik,1038,0.1%,Akhil Bharat Hindu Mahasabha
13,Dr.Jayalakshmi.H.G.,784,0.1%,Independent
14,Sugandharaje Urs,610,0.1%,Independent
15,P.Johnbasco,598,0.1%,Akhila India Jananayaka Makkal Katchi (Dr. Issac)
16,K.C.Janardhan,588,0.1%,Independent
17,B.Shivaramappa,545,0.1%,Pyramid Party Of India
18,Khader Ali Khan,506,0.1%,Independent
19,Ganesh Hanumantarao Mokhashi,504,0.1%,Independent
20,Abhimani Narendra,439,0.0%,Independent
