"Position","Candidate Name","Votes","Votes %","Party"
1,Angadi Suresh Channabasappa,384324,51.0%,Bharatiya Janta Party
2,Amarsinh Vasantrao Patil,265637,35.2%,Indian National Congress
3,A. B. Patil,68594,9.1%,Janata Dal (Secular)
4,Hanaji Ashok Pandu,10811,1.4%,Independent
5,Ramanagouda Siddangouda Patil,6161,0.8%,Bahujan Samaj Party
6,Vijaykumar Jeendatta Upadhye,4536,0.6%,Independent
7,Ramchandra Mareppa Torgal(Chalawadi),4476,0.6%,Independent
8,Allappa Ramappa Patil,3976,0.5%,Independent
9,Kasturi Basanagouda Bhavi,3196,0.4%,Independent
10,Mohan. H. Gadiwaddar,2850,0.4%,Independent
