"Position","Candidate Name","Votes","Votes %","Party"
1,N.Dharam Singh,337957,43.4%,Indian National Congress
2,Gurupadappa Nagmarpalli,298338,38.3%,Bharatiya Janta Party
3,Subhash Tippanna Nelge,49303,6.3%,Janata Dal (Secular)
4,Jagannath.R.Jamadar,22568,2.9%,Bahujan Samaj Party
5,Parmeshwar Ramchandra,9510,1.2%,Independent
6,Pashamiya Esmail Sab,7691,1.0%,Independent
7,Syed Qubul Ulla Hussiani (Sajid),5461,0.7%,Independent
8,Narsappa Muthangi,4054,0.5%,Independent
9,Baswaraj Pailwan Okalli,3907,0.5%,Independent
10,Manjile Miyya Peer Sab Quresh,3883,0.5%,Independent
11,Devendrappa Sangramappa Patil,3127,0.4%,Independent
12,Advocate Moulvi Zameeruddin,2787,0.4%,National Development Party
13,Dongapure Shant Kumar,2646,0.3%,Independent
14,Shivaraj Timmanna Bokke,2455,0.3%,Independent
15,Md Arshad Ahmed Ansari,2443,0.3%,Independent
16,Suresh Swamy Talghatker,2307,0.3%,Independent
17,Khaja Sameeuddin Khaja Moinuddin,2157,0.3%,Independent
18,Jadhav Venkat Rao Gyanoba Rao,2134,0.3%,Independent
19,Subhash Chandra G.Khapate,2090,0.3%,Lok Jan Shakti Party
20,Md Osman Ali Lakhpati,2087,0.3%,Independent
21,Mufti Shaikh Abdul Gaffar Qasmi,1967,0.3%,Independent
22,Yashwanth Narsing,1888,0.2%,Independent
23,Shravan Sangonda Bhande,1870,0.2%,Revolutionary Socialist Party
24,Sameeuddin Bandeli,1864,0.2%,Independent
25,Bhaskar Babu Paterpalli,1853,0.2%,Indian Christian Secular Party
26,Amruthappa.M.D,1795,0.2%,Independent
27,Yevate Patil Shrimanth,1099,0.1%,Independent
