"Position","Candidate Name","Votes","Votes %","Party"
1,Jigajinagi Ramesh Chandappa,308939,47.6%,Bharatiya Janta Party
2,Prakash Kubasing Rathod,266535,41.0%,Indian National Congress
3,Almelkar Vilasababu Basalingappa,33177,5.1%,Janata Dal (Secular)
4,Harijan Ambanna Tukaram,13021,2.0%,Independent
5,Narasappa Tippanna Bandiwaddar,6689,1.0%,Sarvodaya Karnataka Paksha
6,Kanamadi Sudhakar Mallesh,6034,0.9%,Bahujan Samaj Party
7,Sevalal Somashekar Purappa,4633,0.7%,Independent
8,Chalawadi Ramanna,3760,0.6%,Independent
9,Arakeri Nirmala Srinivas,3573,0.6%,Independent
10,Lamani Chandrakant Roopsing,3270,0.5%,Lok Jan Shakti Party
