"Position","Candidate Name","Votes","Votes %","Party"
1,R.Dhruvanarayana,369970,38.0%,Indian National Congress
2,A.R.Krishnamurthy,365968,37.6%,Bharatiya Janta Party
3,M.Shivanna(Kote),106876,11.0%,Janata Dal (Secular)
4,N.Mahesh,68447,7.0%,Bahujan Samaj Party
5,Subbaiah,19984,2.1%,Independent
6,Dr. M.C.Rajanna,8333,0.9%,Independent
7,Ramesh.M,6077,0.6%,Independent
8,P.B.Yogendra,4761,0.5%,Independent
9,R.Jagadish Naik,4758,0.5%,Bharathiya Sahayog Congress
10,Purushotthama.R,4243,0.4%,Independent
11,M.K.Kempasiddaiah,4176,0.4%,Samajwadi Party
12,Bheemaiah,3595,0.4%,Independent
13,Chowdahally Javaraiah,3342,0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
14,K.C.Shivananda,3163,0.3%,Janata Dal (United)
