"Position","Candidate Name","Votes","Votes %","Party"
1,M.Veerappa Moily,390500,39.9%,Indian National Congress
2,C.Aswathanarayana,339119,34.6%,Bharatiya Janta Party
3,C.R.Manohar,186075,19.0%,Janata Dal (Secular)
4,Hennuru Lakshminarayana,14629,1.5%,Bahujan Samaj Party
5,G.N. Ravi,7955,0.8%,Independent
6,Ravi Gokre,5369,0.5%,Independent
7,K.Venkatareddy,5227,0.5%,Independent
8,B.Shivaraja,4992,0.5%,Independent
9,M.Venkatesh,4204,0.4%,Bharatiya Praja Paksha
10,A.N.Bachegowda,3195,0.3%,Independent
11,M.Ramesh,2832,0.3%,Independent
12,Y.A.Siddalingegowda,2794,0.3%,Independent
13,M.Munivenkataiah,2231,0.2%,Independent
14,M.Ramakrishnaiah,2222,0.2%,Pyramid Party Of India
15,G.B.Muthukumar,1406,0.1%,Independent
16,H.R.Shivakumar,1312,0.1%,Lok Jan Shakti Party
17,G.Narayanappa,1214,0.1%,Independent
18,Krishnamurthy .T,1128,0.1%,Independent
19,K.S.Chandrashekar Rao (Azad),1114,0.1%,Independent
20,L.Nagaraj,1092,0.1%,Independent
