"Position","Candidate Name","Votes","Votes %","Party"
1,Janardhana Swamy,370920,44.3%,Bharatiya Janta Party
2,Dr. B Thippeswamy,235349,28.1%,Indian National Congress
3,M Rathnakar,146128,17.5%,Janata Dal (Secular)
4,M Jayanna,28715,3.4%,Bahujan Samaj Party
5,Shashishekar Naik,16286,1.9%,Rashtriya Janata Dal
6,Hanumanthappa Tegnoor,15375,1.8%,Independent
7,B Sujatha,5392,0.6%,Independent
8,K H Durgasimha,5338,0.6%,Independent
9,Ramachandra,4588,0.5%,Independent
10,M Kumbaiah,4125,0.5%,Independent
11,Ganesha,3729,0.4%,Independent
