"Position","Candidate Name","Votes","Votes %","Party"
1,Nalin Kumar Kateel,499385,49.1%,Bharatiya Janta Party
2,Janardhana Poojary,458965,45.2%,Indian National Congress
3,B.Madhava,18328,1.8%,Communist Party Of India (MARXIST)
4,Alekkadi Girish Rai,10196,1.0%,Bahujan Samaj Party
5,Subrahmanya Kumar Kuntikanamata,8932,0.9%,Independent
6,K Rama Bhat Urimajalu,5960,0.6%,Independent
7,Dr.U.P.Shivananda,4825,0.5%,Independent
8,Vasudeva Gowda M. P.,3180,0.3%,Independent
9,Vicharawadi Ananda Gatty,2373,0.2%,Independent
10,Mohammed Sali,1977,0.2%,Independent
11,Dr.Thirumala Raya Halemane,1801,0.2%,Independent
