"Position","Candidate Name","Votes","Votes %","Party"
1,G.M. Siddeswara,423447,46.7%,Bharatiya Janta Party
2,S.S. Mallikarjuna,421423,46.4%,Indian National Congress
3,K.B. Kallerudreshappa,10489,1.2%,Janata Dal (Secular)
4,L.S Mallikarjun,5694,0.6%,Independent
5,Dr. Hidayathur Rahman Khan,5469,0.6%,Bahujan Samaj Party
6,Maruthi H.,5094,0.6%,Independent
7,M. Nagarajappa,4782,0.5%,Independent
8,Yogesh Rao Sindhe,4438,0.5%,Independent
9,Jayanna Itagi,2537,0.3%,Independent
10,B. Gnana Prakash,2243,0.2%,Independent
11,Arundi Ningappa,2081,0.2%,Independent
12,H. Nagaraj Palegara,1874,0.2%,Independent
13,Idli Ramappa,1731,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
14,H K Kenchaveerappa Hebbalu,1665,0.2%,Independent
15,S. Chandrashekarappa,1488,0.2%,Independent
16,G. N. Siddesh,1292,0.1%,Independent
17,G.M. Sudesh,1239,0.1%,Akhila India Jananayaka Makkal Katchi (Dr. Issac)
18,Alur M.G. Swamy,1193,0.1%,Independent
19,A.Ramesh Huli,1118,0.1%,Independent
20,Subhan Khan,1022,0.1%,Independent
21,H.M. Ehsanulla Patel,999,0.1%,Independent
22,Dr.Raju C.,966,0.1%,Independent
23,Inayat Ali Khan,958,0.1%,Independent
24,Lokanagowda Patil,880,0.1%,Independent
25,H. Eswarappa Bovi,866,0.1%,Independent
26,Veeresh T.,849,0.1%,Independent
27,B. Rajashekharayya,805,0.1%,Independent
28,Dr. Sridhara Udupa,635,0.1%,Independent
