"Position","Candidate Name","Votes","Votes %","Party"
1,Pralhad Joshi,446786,56.0%,Bharatiya Janta Party
2,Kunnur Manjunath Channappa,309123,38.7%,Indian National Congress
3,Talakallamath Mahesh Gurupadayya,7176,0.9%,Nationalist Congress Party
4,Shankarappa Gurushiddappa Yadavannavar,6502,0.8%,Independent
5,Kashimsab Mulla,5981,0.7%,Bahujan Samaj Party
6,Hanumantsa Chandrakantsa Niranjan,4921,0.6%,Janata Dal (United)
7,Bagwan Nasir Papulsab,2967,0.4%,Independent
8,Ramachandra Kalingappa Mahar,2673,0.3%,Independent
9,Basavaraj Ramanna Balannavar,2477,0.3%,Independent
10,Basanagouda Mudigouda Hanasi,2029,0.3%,Independent
11,J. Bhaskar,1592,0.2%,Independent
12,Gurupadagouda Venkanagouda Patil,1423,0.2%,Independent
13,Zameer Khan,1390,0.2%,Independent
14,Ali M.Sandimani,1199,0.2%,Independent
15,Ibrahim Kallimani,1063,0.1%,Independent
16,Ashok Vishnusa Baddi,912,0.1%,Independent
