"Position","Candidate Name","Votes","Votes %","Party"
1,Mallikarjun Kharge,345241,45.5%,Indian National Congress
2,Revunaik Belamgi,331837,43.7%,Bharatiya Janta Party
3,Babu Honna Naik,27130,3.6%,Janata Dal (Secular)
4,Shivakumar . Kollur,13818,1.8%,Independent
5,Mahadev. B. Dhanni,13575,1.8%,Bahujan Samaj Party
6,Dr. K. T. Paluskar,8656,1.1%,Prabuddha Republican Party
7,H.V. Diwakar,6348,0.8%,Independent
8,Shankar Jadhav,5226,0.7%,Bharatiya Peoples Party
9,Ravikumar Shalimani Sedam,3777,0.5%,Ambedkar National Congress
10,Shanker Kodla,3777,0.5%,Janata Dal (United)
