"Position","Candidate Name","Votes","Votes %","Party"
1,H D Devegowda,496429,50.6%,Janata Dal (Secular)
2,K. H. Hanume Gowda,205316,20.9%,Bharatiya Janta Party
3,B. Shivaramu,201147,20.5%,Indian National Congress
4,A. P. Ahamed,23002,2.3%,Bahujan Samaj Party
5,K. D. Revanna,14447,1.5%,Independent
6,B. C. Vijayakumara,12274,1.3%,Independent
7,Kodihalli Chandrashekar,7831,0.8%,Independent
8,Aijaz Ahmed Farooqi,4816,0.5%,Independent
9,Rajani Narayanagowda,3556,0.4%,Independent
10,Kurubara Kalenahalli Kovi Babanna,3137,0.3%,Independent
11,M. Mahesh (Harsha),2896,0.3%,Independent
12,Dandora Vijayakumar,2766,0.3%,Independent
13,Devaraja. P. B,2731,0.3%,Independent
