"Position","Candidate Name","Votes","Votes %","Party"
1,Udasi Shivkumar Chanabasappa,430293,49.3%,Bharatiya Janta Party
2,Saleem Ahamed,342373,39.3%,Indian National Congress
3,Shivkumargoud Shidlingangouda Patil,45659,5.2%,Janata Dal (Secular)
4,Basavaraj Shankrappa Desai,11372,1.3%,Independent
5,Ashok Mallappa Javali,8334,1.0%,Nationalist Congress Party
6,Krishnaji Raghavendrarao Onkar,7376,0.8%,Akhil Bharat Hindu Mahasabha
7,Igala Dilleppa Kariyappa,7341,0.8%,Bahujan Samaj Party
8,K.N.Badiger,5144,0.6%,Independent
9,Allabaksh Timmapur,5074,0.6%,Independent
10,Jagadeesh Yankappa Dodmani,3702,0.4%,Independent
11,Fakkiresh Shambu Bijapur,2808,0.3%,Independent
12,Prabhu K Patil,2765,0.3%,Janata Dal (United)
