"PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1363359,859976,63.1 %,35446,4.1%
Bangalore Central,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,1901346,847135,44.6 %,35218,4.2%
Bangalore North,24,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,2144091,1001678,46.7 %,59665,6.0%
Bangalore Rural,23,GEN,Karnataka,H D Kumaraswamy,Janata Dal (Secular),1904135,1103049,57.9 %,130275,11.8%
Bangalore South,26,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,2031030,908751,44.7 %,37612,4.1%
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1378238,754295,54.7 %,118687,15.7%
Bellary,9,ST,Karnataka,J. Shantha,Bharatiya Janta Party,1401258,860948,61.4 %,2243,0.3%
Bidar,7,GEN,Karnataka,N.Dharam Singh,Indian National Congress,1470507,779256,53.0 %,39619,5.1%
Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1373604,649623,47.3 %,42404,6.5%
Chamarajanagar,22,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,1433825,973651,67.9 %,4002,0.4%
Chikkballapur,27,GEN,Karnataka,M.Veerappa Moily,Indian National Congress,1437155,978715,68.1 %,51381,5.2%
Chikkodi,1,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,1284427,868001,67.6 %,55287,6.4%
Chitradurga,18,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,1534169,836390,54.5 %,135571,16.2%
Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1364641,1016135,74.5 %,40420,4.0%
Davanagere,13,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,1344920,907281,67.5 %,2024,0.2%
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1411500,798496,56.6 %,137663,17.2%
Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,1543771,759481,49.2 %,13404,1.8%
Hassan,16,GEN,Karnataka,H D Devegowda,Janata Dal (Secular),1417213,980318,69.2 %,291113,29.7%
Haveri,10,GEN,Karnataka,Udasi Shivkumar Chanabasappa,Bharatiya Janta Party,1371763,872262,63.6 %,87920,10.1%
Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1340923,928350,69.2 %,23006,2.5%
Koppal,8,GEN,Karnataka,Shivaramagouda Shivanagouda,Bharatiya Janta Party,1363431,754803,55.4 %,81789,10.8%
Mandya,20,GEN,Karnataka,N Cheluvaraya Swamy @ Swamygowda,Janata Dal (Secular),1499744,1031797,68.8 %,23500,2.3%
Mysore,21,GEN,Karnataka,Adagur H Vishwanath,Indian National Congress,1653991,974410,58.9 %,7691,0.8%
Raichur,6,ST,Karnataka,Pakkirappa.S.,Bharatiya Janta Party,1486326,682388,45.9 %,30636,4.5%
Shimoga,14,GEN,Karnataka,B.Y. Raghavendra,Bharatiya Janta Party,1435908,954752,66.5 %,52893,5.5%
Tumkur,19,GEN,Karnataka,G.S. Basavaraj,Bharatiya Janta Party,1388773,899917,64.8 %,21445,2.4%
Udupi Chikmagalur,15,GEN,Karnataka,D.V.Sadananda Gowda,Bharatiya Janta Party,1224335,835648,68.3 %,27018,3.2%
Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1286556,760547,59.1 %,22769,3.0%
