"Position","Candidate Name","Votes","Votes %","Party"
1,N Cheluvaraya Swamy @ Swamygowda,384443,37.3%,Janata Dal (Secular)
2,M H Ambareesh,360943,35.0%,Indian National Congress
3,L R Shivaramegowda,144875,14.0%,Bharatiya Janta Party
4,K S Puttannaiah,53644,5.2%,Sarvodaya Karnataka Paksha
5,M Krishnamurthy,25441,2.5%,Bahujan Samaj Party
6,S. Balasubramaniyan,15733,1.5%,Independent
7,Shambhulingegowda,15234,1.5%,Independent
8,Shakunthala,11257,1.1%,Independent
9,Venkatesh R,7086,0.7%,Independent
10,H S Ramanna,5099,0.5%,Pyramid Party Of India
11,Kowdle Channappa,4495,0.4%,Janata Dal (United)
12,Johnson Chinnappan,3453,0.3%,Akhila India Jananayaka Makkal Katchi (Dr. Issac)
