"Position","Candidate Name","Votes","Votes %","Party"
1,Adagur H Vishwanath,354810,36.4%,Indian National Congress
2,C.H.Vijayashankar,347119,35.6%,Bharatiya Janta Party
3,B.A.Jivijaya,216283,22.2%,Janata Dal (Secular)
4,Syed Nizam Ali,19895,2.0%,Bahujan Samaj Party
5,M.V.Santhosh Kumar,11586,1.2%,Independent
6,Santhosh Kumar.P,5521,0.6%,Independent
7,Dr.E.Keshamma,3830,0.4%,Rashtriya Dehat Morcha Party
8,P.n.srinath-Pathrike,3779,0.4%,Independent
9,Rafeeq,3743,0.4%,Independent
10,P.Parashivamurthy,2555,0.3%,Rashtriya Krantikari Samajwadi Party
11,Arshadulla Shariff,2457,0.3%,Bharatiya Praja Paksha
12,Leelavathi.M,2300,0.2%,Pyramid Party Of India
