"Position","Candidate Name","Votes","Votes %","Party"
1,B.Y. Raghavendra,482783,50.6%,Bharatiya Janta Party
2,S. Bangarappa,429890,45.0%,Indian National Congress
3,H.S. Shekarappa,10850,1.1%,Independent
4,J. Jayappa,8205,0.9%,Bahujan Samaj Party
5,C. Murugan,6046,0.6%,Akhila India Jananayaka Makkal Katchi (Dr. Issac)
6,M.P. Sridhar. Byndoor,4568,0.5%,Independent
7,Manjappa. S.,3108,0.3%,Independent
8,N Dinesh Kumar,2144,0.2%,Independent
9,D.S. Eshwarappa,1918,0.2%,Independent
10,Akhil Ahmed,1827,0.2%,Independent
11,Mainuddin.M.S,1716,0.2%,Independent
12,Umeshkumar S,1352,0.1%,Independent
