"Position","Candidate Name","Votes","Votes %","Party"
1,G.S. Basavaraj,331064,36.8%,Bharatiya Janta Party
2,Muddahanumegowda S.P.,309619,34.4%,Janata Dal (Secular)
3,P. Kodandaramaiah,177726,19.7%,Indian National Congress
4,Sri Gowrishankara Swamigalu,28923,3.2%,Samajwadi Party
5,Ashok,15044,1.7%,Bahujan Samaj Party
6,Niranjana C.S,12853,1.4%,Independent
7,Shashibhushan S.C,10715,1.2%,Independent
8,Mohamed Khasim,5219,0.6%,Independent
9,G. Nagendra,4713,0.5%,Independent
10,D.R. Nagaraja,3908,0.4%,Independent
