"Position","Candidate Name","Votes","Votes %","Party"
1,Anantkumar Hegde,339300,44.6%,Bharatiya Janta Party
2,Margaret Alva,316531,41.6%,Indian National Congress
3,V D Hegade,48850,6.4%,Janata Dal (Secular)
4,Yashwant Timmanna Nippanikar,15836,2.1%,Independent
5,Hadapad Basavaraj Dundappa,9340,1.2%,Bahujan Samaj Party
6,D M Gurav,8095,1.1%,Shiv Sena
7,Khazi Rahmatulla Abdul Wahab,7280,1.0%,Independent
8,L P M Naik,5895,0.8%,Independent
9,Uday Babu Khalvadekar,3283,0.4%,Independent
10,Abdul Rasheed Shaikh,3000,0.4%,Independent
11,Elish Kotiyal,2865,0.4%,Janata Dal (United)
